transaction_id,timestamp,sender_account,receiver_account,amount,channel,sender_city,device_id,merchant_category,is_fraud,fraud_pattern
TXN0000025,2026-05-01 04:46:47.000000,ACC10157,ACC10391,12159.82,UPI,Delhi,DEV18125,P2P,1,new_device_spike
TXN0000026,2026-05-01 05:20:45.000000,ACC10372,ACC10377,1350.25,NEFT,Aurangabad,DEV30542,ecommerce,0,none
TXN0000027,2026-05-01 05:48:03.000000,ACC10174,ACC10086,1946.27,UPI,Thane,DEV51938,food_delivery,0,none
TXN0000028,2026-05-01 06:00:29.000000,ACC10183,ACC10003,1834.43,UPI,Delhi,DEV42776,ecommerce,0,none
TXN0000029,2026-05-01 06:08:51.000000,ACC10202,ACC10321,2199.64,UPI,Solapur,DEV18139,grocery,0,none
TXN0000030,2026-05-01 07:01:33.000000,ACC10000,ACC10294,256.65,UPI,Pune,DEV79655,travel,0,none
TXN0000031,2026-05-01 07:08:35.000000,ACC10143,ACC10331,2339.45,IMPS,Pune,DEV14676,utility,0,none
TXN0000032,2026-05-01 07:11:43.000000,ACC10062,ACC10183,939.65,IMPS,Nagpur,DEV39687,P2P,0,none
TXN0000033,2026-05-01 07:21:58.000000,ACC10171,ACC10263,374.33,UPI,Pune,DEV32804,grocery,0,none
TXN0000034,2026-05-01 07:22:04.000000,ACC10242,ACC10240,3218.56,UPI,Solapur,DEV68718,P2P,0,none
TXN0000035,2026-05-01 07:29:25.000000,ACC10245,ACC10023,661.55,UPI,Kolhapur,DEV42458,fuel,0,none
TXN0000036,2026-05-01 07:31:29.000000,ACC10114,ACC10321,9589.32,UPI,Amravati,DEV47719,fuel,0,none
TXN0000037,2026-05-01 07:50:35.000000,ACC10275,ACC10293,545.34,UPI,Jaipur,DEV62779,fuel,0,none
TXN0000038,2026-05-01 07:52:01.000000,ACC10081,ACC10111,5388.17,UPI,Pune,DEV59936,food_delivery,0,none
TXN0000039,2026-05-01 07:54:14.000000,ACC10094,ACC10327,513.38,UPI,Mumbai,DEV94312,utility,0,none
TXN0000040,2026-05-01 07:55:16.000000,ACC10329,ACC10188,2247.45,IMPS,Thane,DEV82668,ecommerce,0,none
TXN0000041,2026-05-01 08:01:26.000000,ACC10152,ACC10173,463.78,UPI,Mumbai,DEV22579,P2P,0,none
TXN0000042,2026-05-01 08:07:56.000000,ACC10328,ACC10222,328.02,UPI,Amravati,DEV40773,fuel,0,none
TXN0000043,2026-05-01 08:09:44.000000,ACC10232,ACC10100,2029.31,UPI,Pune,DEV20729,food_delivery,0,none
TXN0000044,2026-05-01 08:13:25.000000,ACC10112,ACC10352,1417.49,IMPS,Solapur,DEV59967,utility,0,none
TXN0000045,2026-05-01 08:14:14.000000,ACC10207,ACC10287,1601.89,UPI,Mumbai,DEV10488,P2P,0,none
TXN0000046,2026-05-01 08:17:59.000000,ACC10292,ACC10017,662.81,UPI,Thane,DEV37677,ecommerce,0,none
TXN0000047,2026-05-01 08:18:56.000000,ACC10090,ACC10223,2280.48,UPI,Pune,DEV56696,fuel,0,none
TXN0000048,2026-05-01 08:20:51.000000,ACC10255,ACC10312,149.48,UPI,Bengaluru,DEV11321,utility,0,none
TXN0000049,2026-05-01 08:22:20.000000,ACC10279,ACC10190,1118.39,UPI,Delhi,DEV78660,P2P,0,none
TXN0000050,2026-05-01 08:22:56.000000,ACC10125,ACC10263,688.11,UPI,Nashik,DEV31299,P2P,0,none
TXN0000051,2026-05-01 08:23:31.000000,ACC10246,ACC10129,2006.46,UPI,Delhi,DEV76302,travel,0,none
TXN0000052,2026-05-01 08:43:20.000000,ACC10085,ACC10111,673.25,UPI,Bengaluru,DEV33036,P2P,0,none
TXN0000053,2026-05-01 08:43:39.000000,ACC10330,ACC10082,1051.21,IMPS,Solapur,DEV36672,travel,0,none
TXN0000054,2026-05-01 08:47:47.000000,ACC10086,ACC10085,1104.29,UPI,Nagpur,DEV24814,grocery,0,none
TXN0000055,2026-05-01 08:48:06.000000,ACC10323,ACC10270,762.26,UPI,Aurangabad,DEV86749,fuel,0,none
TXN0000056,2026-05-01 08:51:17.000000,ACC10029,ACC10165,2361.23,UPI,Thane,DEV70155,utility,0,none
TXN0000057,2026-05-01 09:03:47.000000,ACC10380,ACC10055,632.4,UPI,Pune,DEV61228,P2P,0,none
TXN0000058,2026-05-01 09:06:44.000000,ACC10089,ACC10039,1561.67,UPI,Bengaluru,DEV90170,P2P,0,none
TXN0000059,2026-05-01 09:07:01.000000,ACC10394,ACC10031,4457.01,UPI,Bengaluru,DEV73727,food_delivery,0,none
TXN0000060,2026-05-01 09:07:06.000000,ACC10143,ACC10180,1446.8,UPI,Pune,DEV14676,P2P,0,none
TXN0000061,2026-05-01 09:09:42.000000,ACC10018,ACC10361,511.49,UPI,Thane,DEV21692,fuel,0,none
TXN0000062,2026-05-01 09:10:21.000000,ACC10203,ACC10008,1080.78,IMPS,Bengaluru,DEV12609,grocery,0,none
TXN0000063,2026-05-01 09:15:48.000000,ACC10201,ACC10170,1727.18,UPI,Mumbai,DEV19577,food_delivery,0,none
TXN0000064,2026-05-01 09:18:12.000000,ACC10309,ACC10219,2011.97,UPI,Mumbai,DEV81430,utility,0,none
TXN0000065,2026-05-01 09:18:27.000000,ACC10360,ACC10336,508.13,IMPS,Mumbai,DEV14586,ecommerce,0,none
TXN0000066,2026-05-01 09:22:13.000000,ACC10335,ACC10288,5087.95,IMPS,Aurangabad,DEV22092,P2P,0,none
TXN0000067,2026-05-01 09:29:23.000000,ACC10150,ACC10348,474.77,UPI,Bengaluru,DEV51651,P2P,0,none
TXN0000068,2026-05-01 09:29:43.000000,ACC10394,ACC10010,3131.45,UPI,Bengaluru,DEV73727,travel,0,none
TXN0000069,2026-05-01 09:32:00.000000,ACC10303,ACC10241,5617.16,UPI,Pune,DEV35940,ecommerce,0,none
TXN0000070,2026-05-01 09:33:20.000000,ACC10002,ACC10030,540.17,IMPS,Nagpur,DEV18475,grocery,0,none
TXN0000071,2026-05-01 09:33:52.000000,ACC10296,ACC10267,735.78,UPI,Bengaluru,DEV52975,food_delivery,0,none
TXN0000072,2026-05-01 09:34:21.000000,ACC10072,ACC10103,720.18,UPI,Jaipur,DEV39840,grocery,0,none
TXN0000073,2026-05-01 09:42:25.000000,ACC10291,ACC10172,1886.04,IMPS,Solapur,DEV93470,food_delivery,0,none
TXN0000074,2026-05-01 09:46:00.000000,ACC10325,ACC10398,1193.13,UPI,Amravati,DEV63128,food_delivery,0,none
TXN0000075,2026-05-01 09:48:33.000000,ACC10124,ACC10135,5485.15,IMPS,Nashik,DEV50850,P2P,0,none
TXN0000076,2026-05-01 09:52:38.000000,ACC10303,ACC10381,5296.87,IMPS,Pune,DEV35940,ecommerce,0,none
TXN0000077,2026-05-01 09:58:48.000000,ACC10072,ACC10397,582.01,UPI,Jaipur,DEV39840,P2P,0,none
TXN0000078,2026-05-01 10:02:33.000000,ACC10164,ACC10390,1041.2,IMPS,Kolhapur,DEV87463,ecommerce,0,none
TXN0000079,2026-05-01 10:04:19.000000,ACC10293,ACC10079,1574.72,UPI,Kolhapur,DEV10658,fuel,0,none
TXN0000080,2026-05-01 10:05:27.000000,ACC10305,ACC10007,640.43,IMPS,Mumbai,DEV21148,utility,0,none
TXN0000081,2026-05-01 10:11:49.000000,ACC10326,ACC10379,1974.0,IMPS,Pune,DEV34733,P2P,0,none
TXN0000082,2026-05-01 10:14:09.000000,ACC10145,ACC10063,595.03,UPI,Delhi,DEV91237,grocery,0,none
TXN0000083,2026-05-01 10:20:27.000000,ACC10055,ACC10071,1637.04,UPI,Amravati,DEV37535,P2P,0,none
TXN0000084,2026-05-01 10:28:01.000000,ACC10178,ACC10211,1918.34,NEFT,Delhi,DEV20539,fuel,0,none
TXN0000085,2026-05-01 10:28:15.000000,ACC10374,ACC10220,1378.3,IMPS,Thane,DEV51468,food_delivery,0,none
TXN0000086,2026-05-01 10:28:19.000000,ACC10357,ACC10305,401.65,UPI,Nashik,DEV13697,food_delivery,0,none
TXN0000087,2026-05-01 10:28:25.000000,ACC10092,ACC10187,2193.77,UPI,Aurangabad,DEV43628,ecommerce,0,none
TXN0000088,2026-05-01 10:33:00.000000,ACC10209,ACC10241,222.17,UPI,Jaipur,DEV31469,food_delivery,0,none
TXN0000089,2026-05-01 10:41:43.000000,ACC10180,ACC10265,393.06,UPI,Jaipur,DEV79688,travel,0,none
TXN0000090,2026-05-01 11:06:41.000000,ACC10181,ACC10123,2948.42,UPI,Amravati,DEV40027,ecommerce,0,none
TXN0000091,2026-05-01 11:17:03.000000,ACC10166,ACC10275,473.36,UPI,Solapur,DEV75313,P2P,0,none
TXN0000092,2026-05-01 11:20:52.000000,ACC10169,ACC10084,2084.2,UPI,Aurangabad,DEV63430,P2P,0,none
TXN0000093,2026-05-01 11:22:50.000000,ACC10083,ACC10241,1783.3,NEFT,Jaipur,DEV38542,P2P,0,none
TXN0000094,2026-05-01 11:24:26.000000,ACC10007,ACC10244,648.22,UPI,Kolhapur,DEV49906,fuel,0,none
TXN0000095,2026-05-01 11:27:06.000000,ACC10313,ACC10044,634.42,UPI,Jaipur,DEV14382,utility,0,none
TXN0000096,2026-05-01 11:39:33.000000,ACC10138,ACC10189,1256.66,UPI,Kolhapur,DEV13912,P2P,0,none
TXN0000097,2026-05-01 11:46:35.000000,ACC10137,ACC10257,1111.79,IMPS,Amravati,DEV88749,fuel,0,none
TXN0000098,2026-05-01 11:47:26.000000,ACC10099,ACC10315,1166.74,UPI,Nashik,DEV97463,food_delivery,0,none
TXN0000099,2026-05-01 11:47:29.000000,ACC10273,ACC10020,451.16,UPI,Jaipur,DEV14018,travel,0,none
TXN0000100,2026-05-01 11:48:57.000000,ACC10196,ACC10209,898.05,UPI,Jaipur,DEV51268,P2P,0,none
TXN0000101,2026-05-01 11:52:06.000000,ACC10191,ACC10231,4654.27,NEFT,Thane,DEV20662,grocery,0,none
TXN0000102,2026-05-01 11:54:07.000000,ACC10097,ACC10183,1067.0,IMPS,Aurangabad,DEV63943,food_delivery,0,none
TXN0000103,2026-05-01 11:54:28.000000,ACC10348,ACC10148,2047.28,UPI,Mumbai,DEV60533,food_delivery,0,none
TXN0000104,2026-05-01 11:57:02.000000,ACC10103,ACC10262,631.08,NEFT,Nashik,DEV55569,utility,0,none
TXN0000105,2026-05-01 12:04:12.000000,ACC10080,ACC10023,741.12,UPI,Jaipur,DEV30719,P2P,0,none
TXN0000106,2026-05-01 12:08:15.000000,ACC10247,ACC10040,188.53,IMPS,Pune,DEV92894,utility,0,none
TXN0000107,2026-05-01 12:14:19.000000,ACC10149,ACC10357,2588.59,UPI,Nashik,DEV56279,P2P,0,none
TXN0000108,2026-05-01 12:17:26.000000,ACC10361,ACC10048,1113.72,UPI,Solapur,DEV44605,ecommerce,0,none
TXN0000109,2026-05-01 12:19:23.000000,ACC10352,ACC10123,1942.32,UPI,Thane,DEV26665,grocery,0,none
TXN0000110,2026-05-01 12:22:38.000000,ACC10299,ACC10135,2757.04,UPI,Thane,DEV88011,grocery,0,none
TXN0000111,2026-05-01 12:27:34.000000,ACC10290,ACC10162,802.22,UPI,Nashik,DEV27244,utility,0,none
TXN0000112,2026-05-01 12:32:51.000000,ACC10200,ACC10167,2657.8,UPI,Amravati,DEV35551,P2P,0,none
TXN0000113,2026-05-01 12:33:18.000000,ACC10385,ACC10053,942.39,UPI,Nagpur,DEV92690,ecommerce,0,none
TXN0000114,2026-05-01 12:33:54.000000,ACC10172,ACC10097,1293.81,UPI,Mumbai,DEV18554,grocery,0,none
TXN0000115,2026-05-01 12:39:52.000000,ACC10196,ACC10224,1484.62,NEFT,Jaipur,DEV51268,P2P,0,none
TXN0000116,2026-05-01 12:40:26.000000,ACC10350,ACC10253,2257.11,NEFT,Bengaluru,DEV52862,P2P,0,none
TXN0000117,2026-05-01 12:40:50.000000,ACC10323,ACC10258,3016.51,UPI,Aurangabad,DEV86749,ecommerce,0,none
TXN0000118,2026-05-01 12:43:07.000000,ACC10320,ACC10392,1754.65,UPI,Nashik,DEV70955,grocery,0,none
TXN0000119,2026-05-01 12:49:11.000000,ACC10011,ACC10074,782.77,UPI,Mumbai,DEV97361,utility,0,none
TXN0000120,2026-05-01 12:49:51.000000,ACC10012,ACC10008,1270.28,IMPS,Amravati,DEV80053,fuel,0,none
TXN0000121,2026-05-01 12:49:56.000000,ACC10025,ACC10013,2234.4,UPI,Delhi,DEV80822,P2P,0,none
TXN0000122,2026-05-01 12:50:45.000000,ACC10089,ACC10152,936.03,UPI,Bengaluru,DEV90170,grocery,0,none
TXN0000123,2026-05-01 12:51:15.000000,ACC10292,ACC10385,609.38,UPI,Thane,DEV37677,grocery,0,none
TXN0000124,2026-05-01 12:52:34.000000,ACC10292,ACC10267,557.97,NEFT,Thane,DEV37677,P2P,0,none
TXN0000125,2026-05-01 13:04:57.000000,ACC10379,ACC10015,3224.18,IMPS,Amravati,DEV65812,P2P,0,none
TXN0000126,2026-05-01 13:05:24.000000,ACC10074,ACC10192,457.31,IMPS,Aurangabad,DEV84365,ecommerce,0,none
TXN0000127,2026-05-01 13:05:45.000000,ACC10034,ACC10067,1773.81,UPI,Jaipur,DEV29312,P2P,0,none
TXN0000128,2026-05-01 13:06:38.000000,ACC10195,ACC10195,160.69,UPI,Amravati,DEV84285,P2P,0,none
TXN0000129,2026-05-01 13:12:06.000000,ACC10191,ACC10288,8352.15,NEFT,Thane,DEV20662,P2P,0,none
TXN0000130,2026-05-01 13:15:06.000000,ACC10247,ACC10181,2374.36,UPI,Pune,DEV92894,food_delivery,0,none
TXN0000131,2026-05-01 13:21:56.000000,ACC10305,ACC10019,340.14,UPI,Mumbai,DEV21148,P2P,0,none
TXN0000132,2026-05-01 13:22:46.000000,ACC10277,ACC10159,1734.87,UPI,Bengaluru,DEV85922,utility,0,none
TXN0000133,2026-05-01 13:22:59.000000,ACC10322,ACC10181,561.55,UPI,Solapur,DEV70444,P2P,0,none
TXN0000134,2026-05-01 13:23:23.000000,ACC10189,ACC10300,3384.85,UPI,Pune,DEV43871,travel,0,none
TXN0000135,2026-05-01 13:27:41.000000,ACC10317,ACC10201,1112.66,UPI,Aurangabad,DEV14406,ecommerce,0,none
TXN0000136,2026-05-01 13:28:44.000000,ACC10312,ACC10149,712.99,UPI,Nagpur,DEV13327,ecommerce,0,none
TXN0000137,2026-05-01 13:37:02.000000,ACC10222,ACC10308,2876.74,UPI,Thane,DEV73861,travel,0,none
TXN0000138,2026-05-01 13:38:56.000000,ACC10179,ACC10287,2594.76,UPI,Thane,DEV69207,food_delivery,0,none
TXN0000139,2026-05-01 13:44:01.000000,ACC10399,ACC10125,1789.15,IMPS,Pune,DEV99258,P2P,0,none
TXN0000140,2026-05-01 13:46:53.000000,ACC10328,ACC10017,749.84,UPI,Amravati,DEV40773,grocery,0,none
TXN0000141,2026-05-01 13:57:47.000000,ACC10348,ACC10235,1715.2,UPI,Mumbai,DEV60533,food_delivery,0,none
TXN0000142,2026-05-01 13:59:05.000000,ACC10189,ACC10123,2224.54,NEFT,Pune,DEV43871,fuel,0,none
TXN0000143,2026-05-01 14:06:07.000000,ACC10228,ACC10261,2899.38,IMPS,Thane,DEV62020,utility,0,none
TXN0000144,2026-05-01 14:06:25.000000,ACC10093,ACC10180,1281.71,UPI,Amravati,DEV77210,utility,0,none
TXN0000145,2026-05-01 14:10:58.000000,ACC10365,ACC10373,1005.02,UPI,Nashik,DEV20086,P2P,0,none
TXN0000146,2026-05-01 14:12:17.000000,ACC10087,ACC10100,449.19,UPI,Nashik,DEV49158,P2P,0,none
TXN0000147,2026-05-01 14:17:18.000000,ACC10273,ACC10118,424.18,UPI,Jaipur,DEV14018,travel,0,none
TXN0000148,2026-05-01 14:21:23.000000,ACC10041,ACC10008,1220.65,UPI,Aurangabad,DEV12044,grocery,0,none
TXN0000149,2026-05-01 14:23:41.000000,ACC10033,ACC10203,1490.0,UPI,Solapur,DEV12773,fuel,0,none
TXN0000150,2026-05-01 14:24:32.000000,ACC10214,ACC10158,266.45,UPI,Pune,DEV21243,utility,0,none
TXN0000151,2026-05-01 14:27:48.000000,ACC10325,ACC10281,1196.91,UPI,Amravati,DEV63128,P2P,0,none
TXN0000152,2026-05-01 14:28:26.000000,ACC10108,ACC10310,1160.31,UPI,Mumbai,DEV45781,utility,0,none
TXN0000153,2026-05-01 14:31:36.000000,ACC10186,ACC10281,3638.22,UPI,Amravati,DEV44498,travel,0,none
TXN0000154,2026-05-01 14:32:25.000000,ACC10053,ACC10263,678.48,UPI,Mumbai,DEV18675,ecommerce,0,none
TXN0000155,2026-05-01 14:37:56.000000,ACC10206,ACC10005,1194.63,UPI,Nashik,DEV69063,food_delivery,0,none
TXN0000156,2026-05-01 14:40:04.000000,ACC10259,ACC10258,4025.28,UPI,Kolhapur,DEV96257,travel,0,none
TXN0000157,2026-05-01 14:46:49.000000,ACC10118,ACC10237,1072.12,UPI,Solapur,DEV19822,P2P,0,none
TXN0000158,2026-05-01 14:54:32.000000,ACC10094,ACC10361,619.55,IMPS,Mumbai,DEV94312,P2P,0,none
TXN0000159,2026-05-01 14:57:20.000000,ACC10271,ACC10170,552.79,UPI,Thane,DEV52238,food_delivery,0,none
TXN0000160,2026-05-01 15:00:14.000000,ACC10183,ACC10311,1724.76,IMPS,Delhi,DEV42776,P2P,0,none
TXN0000161,2026-05-01 15:08:10.000000,ACC10030,ACC10067,1273.09,UPI,Bengaluru,DEV60870,P2P,0,none
TXN0000162,2026-05-01 15:09:53.000000,ACC10051,ACC10393,2874.12,UPI,Nashik,DEV80086,utility,0,none
TXN0000163,2026-05-01 15:11:40.000000,ACC10224,ACC10294,703.56,UPI,Aurangabad,DEV98201,utility,0,none
TXN0000164,2026-05-01 15:15:15.000000,ACC10044,ACC10236,2184.46,UPI,Jaipur,DEV23707,P2P,0,none
TXN0000165,2026-05-01 15:18:05.000000,ACC10253,ACC10312,1097.91,UPI,Kolhapur,DEV40071,travel,0,none
TXN0000166,2026-05-01 15:18:28.000000,ACC10018,ACC10008,741.12,UPI,Thane,DEV21692,grocery,0,none
TXN0000167,2026-05-01 15:18:47.000000,ACC10256,ACC10279,3614.2,NEFT,Amravati,DEV87088,fuel,0,none
TXN0000168,2026-05-01 15:21:42.000000,ACC10348,ACC10025,3005.12,IMPS,Mumbai,DEV60533,P2P,0,none
TXN0000169,2026-05-01 15:24:12.000000,ACC10319,ACC10139,1887.39,IMPS,Thane,DEV10405,P2P,0,none
TXN0000170,2026-05-01 15:27:36.000000,ACC10344,ACC10250,1910.2,NEFT,Jaipur,DEV76807,food_delivery,0,none
TXN0000171,2026-05-01 15:29:55.000000,ACC10105,ACC10156,2340.08,UPI,Bengaluru,DEV82370,fuel,0,none
TXN0000172,2026-05-01 15:30:12.000000,ACC10176,ACC10223,473.31,IMPS,Kolhapur,DEV54293,P2P,0,none
TXN0000173,2026-05-01 15:31:03.000000,ACC10008,ACC10071,715.88,UPI,Pune,DEV59912,P2P,0,none
TXN0000174,2026-05-01 15:32:09.000000,ACC10010,ACC10143,1287.4,IMPS,Pune,DEV78227,food_delivery,0,none
TXN0000175,2026-05-01 15:33:23.000000,ACC10022,ACC10391,2490.32,UPI,Bengaluru,DEV44872,food_delivery,0,none
TXN0000176,2026-05-01 15:36:11.000000,ACC10054,ACC10235,520.59,UPI,Pune,DEV51019,food_delivery,0,none
TXN0000177,2026-05-01 15:45:59.000000,ACC10241,ACC10253,1003.87,UPI,Solapur,DEV73179,fuel,0,none
TXN0000178,2026-05-01 15:46:11.000000,ACC10276,ACC10250,320.84,UPI,Mumbai,DEV17570,fuel,0,none
TXN0000179,2026-05-01 15:50:21.000000,ACC10130,ACC10392,1795.55,UPI,Bengaluru,DEV92886,fuel,0,none
TXN0000180,2026-05-01 15:52:00.000000,ACC10150,ACC10221,2119.51,UPI,Bengaluru,DEV51651,grocery,0,none
TXN0000181,2026-05-01 15:53:48.000000,ACC10195,ACC10365,10.0,IMPS,Amravati,DEV84285,utility,0,none
TXN0000182,2026-05-01 15:58:52.000000,ACC10205,ACC10306,1685.96,UPI,Delhi,DEV27838,P2P,0,none
TXN0000183,2026-05-01 16:00:29.000000,ACC10167,ACC10048,1905.85,UPI,Kolhapur,DEV94233,food_delivery,0,none
TXN0000184,2026-05-01 16:02:19.000000,ACC10222,ACC10161,3592.04,UPI,Thane,DEV73861,grocery,0,none
TXN0000185,2026-05-01 16:04:38.000000,ACC10092,ACC10352,1456.18,UPI,Aurangabad,DEV43628,fuel,0,none
TXN0000186,2026-05-01 16:09:28.000000,ACC10004,ACC10082,674.67,IMPS,Kolhapur,DEV21530,fuel,0,none
TXN0000187,2026-05-01 16:09:29.000000,ACC10111,ACC10106,1016.17,UPI,Jaipur,DEV93231,grocery,0,none
TXN0000188,2026-05-01 16:10:40.000000,ACC10348,ACC10125,1376.99,IMPS,Mumbai,DEV60533,utility,0,none
TXN0000189,2026-05-01 16:14:46.000000,ACC10326,ACC10030,1366.64,UPI,Pune,DEV34733,P2P,0,none
TXN0000190,2026-05-01 16:15:25.000000,ACC10114,ACC10031,2162.45,UPI,Amravati,DEV47719,P2P,1,velocity_burst
TXN0000191,2026-05-01 16:15:43.000000,ACC10114,ACC10399,3555.45,UPI,Amravati,DEV47719,P2P,1,velocity_burst
TXN0000192,2026-05-01 16:19:29.000000,ACC10114,ACC10048,6574.99,UPI,Amravati,DEV47719,P2P,1,velocity_burst
TXN0000193,2026-05-01 16:19:38.000000,ACC10114,ACC10372,5541.63,UPI,Amravati,DEV47719,P2P,1,velocity_burst
TXN0000194,2026-05-01 16:19:48.000000,ACC10114,ACC10209,5877.42,UPI,Amravati,DEV47719,P2P,1,velocity_burst
TXN0000195,2026-05-01 16:22:02.000000,ACC10285,ACC10020,475.69,NEFT,Pune,DEV86523,P2P,0,none
TXN0000196,2026-05-01 16:31:14.000000,ACC10391,ACC10089,1289.58,UPI,Delhi,DEV17029,travel,0,none
TXN0000197,2026-05-01 16:31:20.000000,ACC10053,ACC10093,844.37,IMPS,Mumbai,DEV18675,ecommerce,0,none
TXN0000198,2026-05-01 16:36:43.000000,ACC10094,ACC10081,531.64,UPI,Mumbai,DEV94312,P2P,0,none
TXN0000199,2026-05-01 16:36:49.000000,ACC10330,ACC10311,1759.26,NEFT,Solapur,DEV36672,food_delivery,0,none
TXN0000200,2026-05-01 16:39:53.000000,ACC10386,ACC10362,5118.02,UPI,Jaipur,DEV64307,food_delivery,0,none
TXN0000201,2026-05-01 16:40:10.000000,ACC10391,ACC10304,1081.09,UPI,Delhi,DEV17029,travel,0,none
TXN0000202,2026-05-01 16:43:08.000000,ACC10181,ACC10394,2034.75,UPI,Amravati,DEV40027,utility,0,none
TXN0000203,2026-05-01 16:44:39.000000,ACC10343,ACC10123,998.42,IMPS,Bengaluru,DEV91814,P2P,0,none
TXN0000204,2026-05-01 16:45:18.000000,ACC10068,ACC10390,2915.8,IMPS,Thane,DEV80445,food_delivery,0,none
TXN0000205,2026-05-01 16:53:25.000000,ACC10158,ACC10103,2337.14,UPI,Bengaluru,DEV53281,P2P,0,none
TXN0000206,2026-05-01 16:56:46.000000,ACC10336,ACC10048,2922.77,UPI,Mumbai,DEV16044,grocery,0,none
TXN0000207,2026-05-01 16:59:18.000000,ACC10308,ACC10022,1474.68,UPI,Nashik,DEV98011,travel,0,none
TXN0000208,2026-05-01 17:03:56.000000,ACC10351,ACC10092,950.44,IMPS,Solapur,DEV70713,utility,0,none
TXN0000209,2026-05-01 17:06:06.000000,ACC10219,ACC10195,703.19,UPI,Kolhapur,DEV98217,fuel,0,none
TXN0000210,2026-05-01 17:12:21.000000,ACC10271,ACC10103,916.44,UPI,Thane,DEV52238,P2P,0,none
TXN0000211,2026-05-01 17:20:03.000000,ACC10384,ACC10084,887.78,UPI,Jaipur,DEV86993,grocery,0,none
TXN0000212,2026-05-01 17:22:52.000000,ACC10119,ACC10304,523.11,IMPS,Nashik,DEV81712,fuel,0,none
TXN0000213,2026-05-01 17:24:36.000000,ACC10262,ACC10236,817.59,UPI,Delhi,DEV44905,fuel,0,none
TXN0000214,2026-05-01 17:26:19.000000,ACC10353,ACC10201,1498.0,UPI,Nashik,DEV19170,food_delivery,0,none
TXN0000215,2026-05-01 17:26:24.000000,ACC10327,ACC10286,2378.44,IMPS,Bengaluru,DEV26883,P2P,0,none
